country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15,,,,3.14,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.527,0.51,0.52,22.6,23.7,24.3,24.9,25.9,26.5,27.3,28,28.2,28.6,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,,,,,7.59,,,,,,
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,27.4,27.8,28.8,30.1,30.9,31.8,32.2,33,33.6,33.9,34.2,34.5,
Portugal,1.64,,,,,,,,,,,3.47,,,,,,,,,,7.67,,,,,,,6.87,7.12,7.28,7.57,7.7,8.95,10.2,10.4,11.1,11.2,11.6,12,12.7,14.1,15.2,15.9,17.5,18.2,19,19.3,18.6,20.7,22.5,25,25.4,24
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.23,12.2,11.7,12.8,12.3,,13,14,14.2,,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9,15.1,15.7,16.3,16.6,17.1,17.6,18,19.1,21.7,21.7,22.1,22.8,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9,,,25.1,21.2,19.3,17.1,18.8,20.9,20.5,20.3,17.8,18.9,19,20,19.6,28,28.8,30.4,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0484,0,0.0647,0.071,13,14.1,14.3,14.4,14.5,14.8,15.1,14,15.3,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.3,,,,,,,,,,,41.2,,
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,2.29,2.21,,5.62,4.13,6.02,3.31,5.87,4.46,5.15
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,,,,,,,,,19.9,,,,26,,,31.1,31.1,31.3,30.9
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.64,,,,,,,,,,,9.35,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,,3.12,,2.52,3.62,2.76,3.17,3.64,,,4.9,
Singapore,,,,,,,,,,,2.66,,,,,,,,,,4.75,,,,,7.56,,,,,,,,,,17.5,19.6,20.1,21.8,22.5,23.7,24.6,25.7,27.3,27.7,28.2,29.1,30.7,31.6,32.4,33,36.1,36.2,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,,,,,,,,,,3.35,,,2.14,1.91,1.96,,,,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.06,,,7.12,6.67,,8.34,8.43,,,7.27
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8,,18.2,,18.4,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.87,,,,,,,,9.77,11.8,10.9,11.5,12.7,13.6,14.5,14.9,15.5,15.5,16.3,16.9,17.1,18.7
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.77,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.26,,,,,2.75,,4.85,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95,,,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18.6,13.8,14.8,18.1,18.9,19.6,20.7,21.9,22.9,23.6,24.5,25.8,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2,18.8,19.6,20.7,20.6,21.5,23.6,26.6,26.1,
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26,1.32,1.32,22,22.5,23,23.5,23.9,31,25.1,32.5,32.7,33.7,
Eswatini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,,,,,14.5,6.41,18.3
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,,,,,,,,2.73,1.76,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.49,,,,5.66,,3.1,,3.8,,,5.88,
